name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
Oororo Yogi,Ramana Gogula,https://open.spotify.com/embed/track/2H6aGuQCchI1Qa4eUb51Ua?utm_source=generator,0.786,0.145,0.0908,0.815310349,0.0336,energetic
Bang Bang Bang,Yuvan Shankar Raja,https://open.spotify.com/embed/track/1AisYkksS1odFefyvJSpP5?utm_source=generator,0.865,0.0938,0.23,0.814148217,0.0565,energetic
Nee Kougililo,Sathyam,https://open.spotify.com/embed/track/6OF5C7Z8qFapLnYJLVR1fX?utm_source=generator,0.428,0.96,0.395,0.661491701,0.0397,Chill
Priya Priyathama,Ilaiyaraaja,https://open.spotify.com/embed/track/3QyicuTmZEWO1hU3c3QbW6?utm_source=generator,0.773,0.825,0.124,0.887124169,0.0343,Chill
,Various Artists,https://open.spotify.com/embed/track/1OMMcfTonIktqkjyrU5S05?utm_source=generator,0.84,0.0169,0.129,0.763014393,0.24,energetic
Ivala Edo Anandam Ento,Uday Kiran UK,https://open.spotify.com/embed/track/3xeD7DQ5cEzFSrvHOfSZZU?utm_source=generator,0.524,0.0422,0.143,0.714175035,0.0795,energetic
Manasu Parimalinchene,Pendyala Nageswara Rao,https://open.spotify.com/embed/track/5zoK5Rd74xTt2AFdtLjig8?utm_source=generator,0.422,0.639,0.164,0.812270926,0.0609,Chill
Nee Navvu,M. M. Keeravani,https://open.spotify.com/embed/track/7CsbXGvx9d27jAc6jSF4RG?utm_source=generator,0.59,0.765,0.357,0.623737298,0.0363,Chill
Hey Jana,Mani Sharma,https://open.spotify.com/embed/track/5WtJORFXDoXKfglFUA6rPe?utm_source=generator,0.816,0.0315,0.281,0.798980899,0.151,energetic
"Ananda Paramanda (From ""Sri Manjunatha"")",S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/0ly68f2ueK1cDnvE0Hzw91?utm_source=generator,0.672,0.685,0.0638,0.665186686,0.0469,romantic
Rangola Hola Hola,Harris Jayaraj,https://open.spotify.com/embed/track/048NzPL7Xs7MTvTWtWGW4E?utm_source=generator,0.847,0.0988,0.189,0.754372895,0.0912,energetic
Paluke Bangarama,K. Chakravarthy,https://open.spotify.com/embed/track/6D13sznTbnfycyOWIG0D7F?utm_source=generator,0.427,0.861,0.248,0.818349772,0.179,Chill
Chukkalanti (Sad),Ilaiyaraaja,https://open.spotify.com/embed/track/3PP2gN32q3ulfPDsYCApbN?utm_source=generator,0.636,0.59,0.12,0.82937513,0.0485,romantic
Aakasa Ganga,Kamalakar,https://open.spotify.com/embed/track/15VhrOnyIebxei4gzZbiBA?utm_source=generator,0.536,0.655,0.15,0.679013081,0.0328,Chill
Dandaalayyaa,M. M. Keeravani,https://open.spotify.com/embed/track/1qNjwr1lWSNmTPMbiQ8sYt?utm_source=generator,0.618,0.827,0.404,0.738430823,0.0391,Chill
Pattu Pattu,Devi Sri Prasad,https://open.spotify.com/embed/track/1wo0bG73zjXNDNDAPQXzqI?utm_source=generator,0.686,0.449,0.131,0.70309008,0.296,romantic
Kalalonaina,S.A. Rajkumar,https://open.spotify.com/embed/track/5AgawCwpT2z2gFFQm7qV7a?utm_source=generator,0.646,0.423,0.178,0.784409547,0.0417,romantic
Tillu Anna DJ Pedithe,Ram Miriyala,https://open.spotify.com/embed/track/4ZNIkO2j6K2c0Nm8zWXmdn?utm_source=generator,0.702,0.149,0.11,0.805178939,0.21,energetic
Atu Nuvve,Devi Sri Prasad,https://open.spotify.com/embed/track/3geKpJNdURFqbA8OqaR7vr?utm_source=generator,0.661,0.604,0.0881,0.831639799,0.0939,romantic
Khabaddarani,Mani Sharma,https://open.spotify.com/embed/track/1GZQaWpJ8qu74dnNtTn6Ly?utm_source=generator,0.715,0.00407,0.127,0.837688847,0.117,energetic
Andagaada,Harris Jayaraj,https://open.spotify.com/embed/track/35EifGHoMZxyYVGkNRmyjJ?utm_source=generator,0.418,0.0583,0.269,0.733245925,0.152,energetic
Podagantimaiya,Unnikrishnan,https://open.spotify.com/embed/track/17sXUnSPygh0kzcemnyCWa?utm_source=generator,0.444,0.71,0.339,0.763938139,0.0683,Chill
